package,version,filename,packagetype,python_version,url,size,sha256,local_path,status,error
access-django-user-admin,1.6.2,access_django_user_admin-1.6.2.tar.gz,sdist,source,https://files.pythonhosted.org/packages/be/73/fca0b4fc2b1dfabbc46bb18cdcaabf24b832ac97fe0d16f943cc841d58a4/access_django_user_admin-1.6.2.tar.gz,130696,91ad9cedf943be9d94d14d84390cd9ff11ac103c7b3e840e73bbaedc273230d9,data/artifacts/pypi/access-django-user-admin/1.6.2/access_django_user_admin-1.6.2.tar.gz,downloaded,
aduib-mcp-router,1.1.14,aduib_mcp_router-1.1.14-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/c2/a8/5707fee70e8700cd268302a3e25bd924664041c594a3b34e579dfe5e3d87/aduib_mcp_router-1.1.14-py3-none-any.whl,74712,6359ef69b57b4b8148cfc9fb3ad6a3441112df923a656fb3cf1d0f9f096c4285,data/artifacts/pypi/aduib-mcp-router/1.1.14/aduib_mcp_router-1.1.14-py3-none-any.whl,downloaded,
aduib-mcp-router,1.1.14,aduib_mcp_router-1.1.14.tar.gz,sdist,source,https://files.pythonhosted.org/packages/17/b0/d5efbd6854bbb9888404e7bac80fd6740c4d4949de41cc3bc0ad91f399f0/aduib_mcp_router-1.1.14.tar.gz,462405,8687dc25963840b09ad6213ed7451d0b37a21a6eaf972175d5c19847f70fc2e6,data/artifacts/pypi/aduib-mcp-router/1.1.14/aduib_mcp_router-1.1.14.tar.gz,downloaded,
agentbill-langchain,,,,,https://pypi.org/pypi/agentbill-langchain/json,0,,,error,HTTPError: HTTP Error 404: Not Found
aegisgraph,,,,,https://pypi.org/pypi/aegisgraph/json,0,,,error,HTTPError: HTTP Error 404: Not Found
aem-page-verifier,0.1.1,aem_page_verifier-0.1.1-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/31/8e/a0bda14502a381fa0032b5f014be88e6ea7777e99ea61ea98199fb73b11c/aem_page_verifier-0.1.1-py3-none-any.whl,5916,89b81a28f9dcdd39418ebe30313608c77eed7703b38487c9b7fa0000640a6952,data/artifacts/pypi/aem-page-verifier/0.1.1/aem_page_verifier-0.1.1-py3-none-any.whl,downloaded,
aem-page-verifier,0.1.1,aem_page_verifier-0.1.1.tar.gz,sdist,source,https://files.pythonhosted.org/packages/3f/e0/6dce5d8922b45613f840d53c7bfd9266f1392655faf60ec83095a293ec4a/aem_page_verifier-0.1.1.tar.gz,5251,d3adc2b2c1f5e35343e25845a7f7f4c5f9623069b55aa8c0891edf1fe7f672a5,data/artifacts/pypi/aem-page-verifier/0.1.1/aem_page_verifier-0.1.1.tar.gz,downloaded,
agambiaehcrdesign,0.3.0,agambiaehcrdesign-0.3.0-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/eb/d7/8482345ae75fb1acb5095c5aadc512b3fdd038582bd20d0b320ba40f2342/agambiaehcrdesign-0.3.0-py3-none-any.whl,19189,6786c2cd253c9175876725bca728798d4f3fcfcaf4c057b7b558089e5d0f77ba,data/artifacts/pypi/agambiaehcrdesign/0.3.0/agambiaehcrdesign-0.3.0-py3-none-any.whl,downloaded,
agambiaehcrdesign,0.3.0,agambiaehcrdesign-0.3.0.tar.gz,sdist,source,https://files.pythonhosted.org/packages/f3/d1/aae9d247f47987481e7322f55618ed09da819792eabb9dcc6802e93436c0/agambiaehcrdesign-0.3.0.tar.gz,19678,21ae31b134eae6a10ff20ee54de7934a1ecaf6d2abc93315d181b89f8812d3ca,data/artifacts/pypi/agambiaehcrdesign/0.3.0/agambiaehcrdesign-0.3.0.tar.gz,downloaded,
agent-seo-engine,0.1.0,agent_seo_engine-0.1.0-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/58/83/80e65339fc3aacf7d1dc0c675e27df5c99e05f43e70ebae7a75ed95f091a/agent_seo_engine-0.1.0-py3-none-any.whl,12628,7156c484c6c6d08db16b883fec04b9c4bc5c9d3355458275f6e3b6ecaae4812d,data/artifacts/pypi/agent-seo-engine/0.1.0/agent_seo_engine-0.1.0-py3-none-any.whl,downloaded,
agent-seo-engine,0.1.0,agent_seo_engine-0.1.0.tar.gz,sdist,source,https://files.pythonhosted.org/packages/4b/c2/ca8d3a89e37e143c847fb5c029577c5ad77f163d27683147aaf80b9d749e/agent_seo_engine-0.1.0.tar.gz,62154,f1b41a075b1b14716d4c1bb9f9abbe52eb0f86308681d2a2b824cbd342b40de2,data/artifacts/pypi/agent-seo-engine/0.1.0/agent_seo_engine-0.1.0.tar.gz,downloaded,
ai-agent-passport,0.2.2,ai_agent_passport-0.2.2-py3-none-any.whl,bdist_wheel,py3,https://files.pythonhosted.org/packages/3a/98/ec8ce3373d39221a7af722bc9251a6f6ac84dec30dcec38b4821cb94b2f5/ai_agent_passport-0.2.2-py3-none-any.whl,16545,75b1b3bca98df529e17f93c76d1322fcad25efb915f8ff7c9bfa0583da3f2b14,data/artifacts/pypi/ai-agent-passport/0.2.2/ai_agent_passport-0.2.2-py3-none-any.whl,downloaded,
