case_id,tool,python_tag,finding,original_status,original_reason,replay_returncode,replay_signal,replay_status,replay_reason,case_dir
013-decompyle3-cpython-313-cpython-313-7c3c7040a8a0,decompyle3,cpython-313,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-7c3c7040a8a0.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/013-decompyle3-cpython-313-cpython-313-7c3c7040a8a0
014-decompyle3-cpython-313-cpython-313-8ac23cabb596,decompyle3,cpython-313,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-8ac23cabb596.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/014-decompyle3-cpython-313-cpython-313-8ac23cabb596
015-decompyle3-cpython-313-cpython-313-e1160566c937,decompyle3,cpython-313,data/rq3/cpython-3.13/unique_bug_pyc/cpython-313-e1160566c937.pyc,exit_-11,/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-313/lib/python3.13/site-packages/click/core.py:1262: UserWarning: The parameter --version is used more than once. Remove its duplicate as parameters should be unique. parser = self.make_parser...,-11,SIGSEGV,Process crash,SIGSEGV,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/015-decompyle3-cpython-313-cpython-313-e1160566c937
016-decompyle3-cpython-38-cpython-38-3cebf488677b,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-3cebf488677b.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/016-decompyle3-cpython-38-cpython-38-3cebf488677b
017-decompyle3-cpython-38-cpython-38-172b46bc6f63,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-172b46bc6f63.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,array index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/017-decompyle3-cpython-38-cpython-38-172b46bc6f63
018-decompyle3-cpython-38-cpython-38-0e6ea9f74fdd,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-0e6ea9f74fdd.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,Traceback,,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/018-decompyle3-cpython-38-cpython-38-0e6ea9f74fdd
019-decompyle3-cpython-38-cpython-38-09cf932ac7c9,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-09cf932ac7c9.pyc,exit_2,"Unknown type 64 (hex 40) @ Unknown type 0 (hex 0) \\\\0 Unknown type 0 (hex 0) \\\\0 Unknown type 0 (hex 0) \\\\0 Traceback (most recent call last): File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/xdis/load.py"", lin...",2,,TypeError,'NoneType' object is not iterable,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/019-decompyle3-cpython-38-cpython-38-09cf932ac7c9
020-decompyle3-cpython-38-cpython-38-05df3261717a,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-05df3261717a.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/020-decompyle3-cpython-38-cpython-38-05df3261717a
021-decompyle3-cpython-38-cpython-38-1023437964e6,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-1023437964e6.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/021-decompyle3-cpython-38-cpython-38-1023437964e6
022-decompyle3-cpython-38-cpython-38-428375de16b7,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-428375de16b7.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,tuple index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/022-decompyle3-cpython-38-cpython-38-428375de16b7
023-decompyle3-cpython-38-cpython-38-5e5346c1cf8a,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-5e5346c1cf8a.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,TypeError,argument of type 'int' is not iterable,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/023-decompyle3-cpython-38-cpython-38-5e5346c1cf8a
024-decompyle3-cpython-38-cpython-38-6273a738710f,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-6273a738710f.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,array index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/024-decompyle3-cpython-38-cpython-38-6273a738710f
025-decompyle3-cpython-38-cpython-38-46a59a1a86c9,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-46a59a1a86c9.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,Traceback,,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/025-decompyle3-cpython-38-cpython-38-46a59a1a86c9
026-decompyle3-cpython-38-cpython-38-6fc7c4e73992,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-6fc7c4e73992.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,Traceback,,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/026-decompyle3-cpython-38-cpython-38-6fc7c4e73992
027-decompyle3-cpython-38-cpython-38-717ef7a927e1,decompyle3,cpython-38,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-717ef7a927e1.pyc,exit_1,"Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",1,,IndexError,array index out of range,/home/awen/git/PybcSEC/PycLens/data/rq4/replayed_tool_robustness/027-decompyle3-cpython-38-cpython-38-717ef7a927e1
