case_id,copied_pyc,status,reason,artifact,package,version,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,tools,statuses,reason_categories,reasons
1a9217268814,astromorphlib-1.0.13-cpython-38-1a9217268814.pyc,copied,,astromorphlib-1.0.13-py3-none-any.whl,astromorphlib,1.0.13,wheel,stat_lib/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s
fde07d994591,astromorphlib-1.0.13-cpython-38-fde07d994591.pyc,copied,,astromorphlib-1.0.13.tar.gz,astromorphlib,1.0.13,tar,astromorphlib-1.0.13/stat_lib/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s
431d4b666e96,autograder-3.7.7-cpython-38-431d4b666e96.pyc,copied,,autograder-3.7.7.tar.gz,autograder,3.7.7,tar,autograder-3.7.7/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
38b39ff46fa4,bestfit-0.3-cpython-38-38b39ff46fa4.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/babel/messages/__pycache__/mofile.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
ac9951918345,bestfit-0.3-cpython-38-ac9951918345.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/dateutil/__pycache__/rrule.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s
1a7f74664829,bestfit-0.3-cpython-38-1a7f74664829.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/matplotlib/axes/__pycache__/_base.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
565c83a0e688,bestfit-0.3-cpython-38-565c83a0e688.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/numpy/typing/tests/data/pass/__pycache__/random.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s
45d31ed4da2a,bestfit-0.3-cpython-38-45d31ed4da2a.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/poetry/core/_vendor/lark/__pycache__/reconstruct.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
6a58169ea369,bestfit-0.3-cpython-38-6a58169ea369.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/poetry/core/_vendor/lark/__pycache__/reconstruct2.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _..."
9c3171eb00eb,bestfit-0.3-cpython-38-9c3171eb00eb.pyc,copied,,bestFit-0.3.tar.gz,bestfit,0.3,tar,bestFit-0.3/venv/lib/python3.8/site-packages/snowballstemmer/__pycache__/serbian_stemmer.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s
