sample_sets,roundtrip_primary,roundtrip_secondary,artifact,artifact_type,pyc_path,python_tag,magic_number,source_present,overall_level,overall_label,pylingual,pylingual_level,decompyle3,decompyle3_level
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/tracardi/0.6.26/tracardi-0.6.26.tar.gz,tar,tracardi-0.6.26/tracardi/process_engine/action/v1/metrics/key_counter/service/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/informative-iterator/2.2.3/informative_iterator-2.2.3-py3-none-any.whl,wheel,informative_iterator/__dependencies__/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/nimba/0.0.14/nimba-0.0.14.tar.gz,tar,nimba-0.0.14/examples/env/lib64/python3.8/site-packages/jinja2/__pycache__/compiler.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/sentile/1.2.0/sentile-1.2.0.tar.gz,tar,sentile-1.2.0/sentile/s2/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/simo/3.5.42/simo-3.5.42.tar.gz,tar,simo-3.5.42/src/simo/core/management/commands/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/article-playground/0.2.1/article_playground-0.2.1.tar.gz,tar,article_playground-0.2.1/article_playground/notion/__pycache__/__init__.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/fastuav/0.1.1/fastuav-0.1.1.tar.gz,tar,fastuav-0.1.1/src/fastuav/models/propulsion/energy/battery/__pycache__/battery.cpython-38.pyc,cpython-38,3413,True,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/lfedu/0.0.1/lfedu-0.0.1.tar.gz,tar,lfedu-0.0.1/.venv/lib/python3.8/site-packages/pygments/lexers/__pycache__/thingsdb.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/gripcd/0.1.2/gripcd-0.1.2-py3-none-any.whl,wheel,grip/__pycache__/lms.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
main_l4_stratified,pylingual,decompyle3,data/artifacts/pypi/bestfit/0.3/bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/requests_toolbelt/utils/__pycache__/user_agent.cpython-38.pyc,cpython-38,3413,False,4,pylingual_decompilable,ok,3,ok,3
