case_id,tool,status,reason,package,version,artifact,artifact_type,pyc_path,copied_pyc,python_tag,magic_number,source_present,overall_level,overall_label,original_failed_tools,original_statuses,original_reason_categories,original_reasons,command_file,stdout_file,stderr_file
1a9217268814,decompylepp,exit_1,Error decompyling PycLens/data/rq2/failed_cases/astromorphlib-1.0.13-cpython-38-1a9217268814.pyc: std::bad_cast,astromorphlib,1.0.13,astromorphlib-1.0.13-py3-none-any.whl,wheel,stat_lib/__pycache__/__init__.cpython-38.pyc,astromorphlib-1.0.13-cpython-38-1a9217268814.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s,PycLens/data/rq2/failed_cases_decompylepp_traces/1a9217268814-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/1a9217268814-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/1a9217268814-decompylepp.stderr.txt
fde07d994591,decompylepp,exit_1,Error decompyling PycLens/data/rq2/failed_cases/astromorphlib-1.0.13-cpython-38-fde07d994591.pyc: std::bad_cast,astromorphlib,1.0.13,astromorphlib-1.0.13.tar.gz,tar,astromorphlib-1.0.13/stat_lib/__pycache__/__init__.cpython-38.pyc,astromorphlib-1.0.13-cpython-38-fde07d994591.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s,PycLens/data/rq2/failed_cases_decompylepp_traces/fde07d994591-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/fde07d994591-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/fde07d994591-decompylepp.stderr.txt
431d4b666e96,decompylepp,ok,,autograder,3.7.7,autograder-3.7.7.tar.gz,tar,autograder-3.7.7/autograder/testcase_utils/__pycache__/shell.cpython-38.pyc,autograder-3.7.7-cpython-38-431d4b666e96.pyc,cpython-38,3413,True,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",,,
38b39ff46fa4,decompylepp,ok,,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/babel/messages/__pycache__/mofile.cpython-38.pyc,bestfit-0.3-cpython-38-38b39ff46fa4.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",,,
ac9951918345,decompylepp,exit_1,Error decompyling PycLens/data/rq2/failed_cases/bestfit-0.3-cpython-38-ac9951918345.pyc: std::bad_cast,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/dateutil/__pycache__/rrule.cpython-38.pyc,bestfit-0.3-cpython-38-ac9951918345.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s,PycLens/data/rq2/failed_cases_decompylepp_traces/ac9951918345-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/ac9951918345-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/ac9951918345-decompylepp.stderr.txt
1a7f74664829,decompylepp,exit_1,Unsupported Node type: 0 Warning: Stack history is not empty! Warning: block stack is not empty! PycBuffer::getByte(): Unexpected end of stream,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/matplotlib/axes/__pycache__/_base.cpython-38.pyc,bestfit-0.3-cpython-38-1a7f74664829.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",PycLens/data/rq2/failed_cases_decompylepp_traces/1a7f74664829-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/1a7f74664829-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/1a7f74664829-decompylepp.stderr.txt
565c83a0e688,decompylepp,ok,,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/numpy/typing/tests/data/pass/__pycache__/random.cpython-38.pyc,bestfit-0.3-cpython-38-565c83a0e688.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s,,,
45d31ed4da2a,decompylepp,exit_1,PycBuffer::getByte(): Unexpected end of stream,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/poetry/core/_vendor/lark/__pycache__/reconstruct.cpython-38.pyc,bestfit-0.3-cpython-38-45d31ed4da2a.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",PycLens/data/rq2/failed_cases_decompylepp_traces/45d31ed4da2a-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/45d31ed4da2a-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/45d31ed4da2a-decompylepp.stderr.txt
6a58169ea369,decompylepp,exit_1,PycBuffer::getByte(): Unexpected end of stream,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/poetry/core/_vendor/lark/__pycache__/reconstruct2.cpython-38.pyc,bestfit-0.3-cpython-38-6a58169ea369.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,exit_1,tool_exit,"decompyle3:exit_1:Traceback (most recent call last): File ""data/rq2/envs/cpython-38/bin/decompyle3"", line 8, in <module> sys.exit(main_bin()) File ""/root/PyBC-Sec/pybcSEC/data/rq2/envs/cpython-38/lib/python3.8/site-packages/click/core.py"", line 1161, in _...",PycLens/data/rq2/failed_cases_decompylepp_traces/6a58169ea369-decompylepp.command.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/6a58169ea369-decompylepp.stdout.txt,PycLens/data/rq2/failed_cases_decompylepp_traces/6a58169ea369-decompylepp.stderr.txt
9c3171eb00eb,decompylepp,ok,,bestfit,0.3,bestFit-0.3.tar.gz,tar,bestFit-0.3/venv/lib/python3.8/site-packages/snowballstemmer/__pycache__/serbian_stemmer.cpython-38.pyc,bestfit-0.3-cpython-38-9c3171eb00eb.pyc,cpython-38,3413,False,4,pylingual_decompilable,decompyle3,timeout,timeout,decompyle3:timeout:timeout_after_600s,,,
