artifact,package,version,artifact_type,source_less_pyc,total_pyc_in_artifact,source_less_pyc_pct_in_artifact,python_tags,top_level_paths,source_recoverable_pyc,source_recoverable_pct,dynamic_loading_indicator,dynamic_load_hits,keyword_categories,security_keyword_indicator
eiplgrader-1.0.0-py3-none-any.whl,eiplgrader,1.0.0,wheel,24,46,52.17,cpython-313,eiplgrader,24,100.00,True,2,data,no
eiplgrader-1.0.0.tar.gz,eiplgrader,1.0.0,tar,24,46,52.17,cpython-313,eiplgrader-1.0.0,24,100.00,True,2,data,no
family_ai_voice_assistant_impl-0.1.0.tar.gz,family-ai-voice-assistant-impl,0.1.0,tar,24,44,54.55,cpython-310;cpython-39,family_ai_voice_assistant_impl-0.1.0,24,100.00,False,0,ml,no
euphoria-1.0.0.tar.gz,euphoria,1.0.0,tar,23,375,6.13,cpython-310;cpython-311,euphoria-1.0.0,23,100.00,True,1,data;network,no
runningz-0.20.2-py39-none-any.whl,runningz,0.20.2,wheel,23,23,100.00,cpython-39,runningz_so,23,100.00,False,0,data;ml,no
django_toolbar_auths-0.1.2-py3-none-any.whl,django-toolbar-auths,0.1.2,wheel,22,30,73.33,cpython-312;cpython-313,Django_auths,22,100.00,False,0,,no
django_toolbar_auths-0.1.2.tar.gz,django-toolbar-auths,0.1.2,tar,22,30,73.33,cpython-312;cpython-313,django_toolbar_auths-0.1.2,22,100.00,False,0,,no
gripcd-0.1.2-py3-none-any.whl,gripcd,0.1.2,wheel,22,46,47.83,cpython-311;cpython-38;cpython-39,grip,22,100.00,False,0,,no
gripcd-0.1.2.tar.gz,gripcd,0.1.2,tar,22,46,47.83,cpython-311;cpython-38;cpython-39,gripcd-0.1.2,22,100.00,False,0,,no
isagellm_compression-0.5.4.12-py2.py3-none-any.whl,isagellm-compression,0.5.4.12,wheel,22,29,75.86,cpython-311,sagellm_compression,22,100.00,False,0,,no
isagellm_compression-0.5.4.12.tar.gz,isagellm-compression,0.5.4.12,tar,22,29,75.86,cpython-311,isagellm_compression-0.5.4.12,22,100.00,False,0,,no
isagellm_dev_tools-0.5.4.9-py2.py3-none-any.whl,isagellm-dev-tools,0.5.4.9,wheel,22,24,91.67,cpython-311,sagellm_dev_tools,22,100.00,False,0,cli,no
isagellm_dev_tools-0.5.4.9.tar.gz,isagellm-dev-tools,0.5.4.9,tar,22,24,91.67,cpython-311,isagellm_dev_tools-0.5.4.9,22,100.00,False,0,cli,no
mimosa-1.2.0-py3-none-any.whl,mimosa,1.2.0,wheel,22,212,10.38,cpython-311;cpython-312;cpython-38,mimosa,22,100.00,False,0,ml,no
mimosa-1.2.0.tar.gz,mimosa,1.2.0,tar,22,212,10.38,cpython-311;cpython-312;cpython-38,mimosa-1.2.0,22,100.00,False,0,ml,no
mediphy-2.2.0.tar.gz,mediphy,2.2.0,tar,21,93,22.58,cpython-310;cpython-311,mediphy-2.2.0,21,100.00,True,2,data,no
taer_core-1.0.5-py3-none-any.whl,taer-core,1.0.5,wheel,21,21,100.00,cpython-310,TAER_Core,21,100.00,False,0,ml,no
tmutils-24.39.tar.gz,tmutils,24.39,tar,21,21,100.00,cpython-39,tmutils-24.39,21,100.00,False,0,data;ml;network,no
wagtail-themes-0.5.0.tar.gz,wagtail-themes,0.5.0,tar,21,38,55.26,cpython-39,wagtail-themes-0.5.0,21,100.00,False,0,testing,no
wagtail_themes-0.5.0-py2.py3-none-any.whl,wagtail-themes,0.5.0,wheel,21,38,55.26,cpython-39,wagtailthemes,21,100.00,False,0,testing,no
isagellm_gateway-0.5.4.14-py2.py3-none-any.whl,isagellm-gateway,0.5.4.14,wheel,20,24,83.33,cpython-311,sagellm_gateway,20,100.00,False,0,network;security,yes
isagellm_gateway-0.5.4.14.tar.gz,isagellm-gateway,0.5.4.14,tar,20,24,83.33,cpython-311,isagellm_gateway-0.5.4.14,20,100.00,False,0,network;security,yes
django-ipghrms-attendance-1.8.tar.gz,django-ipghrms-attendance,1.8,tar,19,62,30.65,cpython-38;cpython-39,django-ipghrms-attendance-1.8,19,100.00,False,0,,no
django_ipghrms_attendance-1.8-py3-none-any.whl,django-ipghrms-attendance,1.8,wheel,19,62,30.65,cpython-38;cpython-39,attendance,19,100.00,False,0,,no
emoc-0.0.1a1.tar.gz,emoc,0.0.1a1,tar,19,54,35.19,cpython-39,emoc-0.0.1a1,19,100.00,True,1,,no
hyperopt-0.2.7.tar.gz,hyperopt,0.2.7,tar,19,48,39.58,cpython-39,hyperopt-0.2.7,19,100.00,True,6,testing,no
isagellm_protocol-0.5.4.16-py2.py3-none-any.whl,isagellm-protocol,0.5.4.16,wheel,19,22,86.36,cpython-311,sagellm_protocol,19,100.00,False,0,,no
isagellm_protocol-0.5.4.16.tar.gz,isagellm-protocol,0.5.4.16,tar,19,22,86.36,cpython-311,isagellm_protocol-0.5.4.16,19,100.00,False,0,,no
lidb-2026.5.14.16.tar.gz,lidb,2026.5.14.16,tar,19,127,14.96,cpython-312;cpython-314,lidb-2026.5.14.16,19,100.00,True,2,testing,no
pythonion-0.0.17-py3-none-any.whl,pythonion,0.0.17,wheel,19,19,100.00,cpython-312,pythonion,19,100.00,False,0,,no
pythonion-0.0.17.tar.gz,pythonion,0.0.17,tar,19,19,100.00,cpython-312,pythonion-0.0.17,19,100.00,False,0,,no
