input,input_type,files_total,py_files,pyc_files,pycache_dirs,source_less_pyc,has_bytecode,has_dynamic_loading,dynamic_load_hits,magic_numbers,pyc_versions,errors
data/artifacts/pypi/amt-phonetic/1.0.0/amt_phonetic-1.0.0-py3-none-any.whl,wheel,13,7,0,0,0,False,False,0,,,
data/artifacts/pypi/alibabacloud-cas20200630-py2/1.0.15/alibabacloud_cas20200630_py2-1.0.15.tar.gz,tar,19,4,0,0,0,False,False,0,,,
data/artifacts/pypi/amulet-utils/1.0.0/amulet_utils-1.0.0-1.AppleClang.15.0.0.15000100-cp311-cp311-macosx_10_15_universal2.whl,wheel,33,4,0,0,0,False,False,0,,,
data/artifacts/pypi/amt-phonetic/1.0.0/amt_phonetic-1.0.0.tar.gz,tar,24,9,0,0,0,False,False,0,,,
data/artifacts/pypi/anibridge-library-base/0.2.1/anibridge_library_base-0.2.1-py3-none-any.whl,wheel,10,2,0,0,0,False,False,0,,,
data/artifacts/pypi/anibridge-library-base/0.2.1/anibridge_library_base-0.2.1.tar.gz,tar,10,2,0,0,0,False,False,0,,,
data/artifacts/pypi/amulet-utils/1.0.0/amulet_utils-1.0.0.tar.gz,tar,61,6,0,0,0,False,False,0,,,
data/artifacts/pypi/apache-airflow-providers-docker/4.5.6/apache_airflow_providers_docker-4.5.6-py3-none-any.whl,wheel,17,11,0,0,0,False,True,1,,,
data/artifacts/pypi/apibean-jupyter/0.1.0a4/apibean_jupyter-0.1.0a4-py3-none-any.whl,wheel,13,7,0,0,0,False,False,0,,,
data/artifacts/pypi/apache-airflow-providers-docker/4.5.6/apache_airflow_providers_docker-4.5.6.tar.gz,tar,49,32,0,0,0,False,True,4,,,
data/artifacts/pypi/aduib-mcp-router/1.1.14/aduib_mcp_router-1.1.14.tar.gz,tar,70,54,0,0,0,False,True,2,,,
data/artifacts/pypi/apibean-jupyter/0.1.0a4/apibean_jupyter-0.1.0a4.tar.gz,tar,33,16,0,0,0,False,False,0,,,
data/artifacts/pypi/arab-transliterator/1.0.3/arab_transliterator-1.0.3-py3-none-any.whl,wheel,11,7,0,0,0,False,False,0,,,
data/artifacts/pypi/apistubs/0.0.1/apistubs-0.0.1-py3-none-any.whl,wheel,36,31,0,0,0,False,False,0,,,
data/artifacts/pypi/arborparser/0.1.6/arborparser-0.1.6-py3-none-any.whl,wheel,12,7,0,0,0,False,False,0,,,
data/artifacts/pypi/arab-transliterator/1.0.3/arab_transliterator-1.0.3.tar.gz,tar,20,8,0,0,0,False,False,0,,,
data/artifacts/pypi/arc-admin-mwilliams/0.0.1/arc_admin_mwilliams-0.0.1-py3-none-any.whl,wheel,7,2,0,0,0,False,False,0,,,
data/artifacts/pypi/arcade-yugabytedb/0.1.0/arcade_yugabytedb-0.1.0-py3-none-any.whl,wheel,8,4,0,0,0,False,False,0,,,
data/artifacts/pypi/apistubs/0.0.1/apistubs-0.0.1.tar.gz,tar,50,31,0,0,0,False,False,0,,,
data/artifacts/pypi/article-to-md/0.5.0/article_to_md-0.5.0-py3-none-any.whl,wheel,14,6,0,0,0,False,False,0,,,
data/artifacts/pypi/armory-examples/24.6.1/armory_examples-24.6.1-py3-none-any.whl,wheel,18,11,0,0,0,False,False,0,,,
data/artifacts/pypi/ascall/0.1.1/ascall-0.1.1-py3-none-any.whl,wheel,5,1,0,0,0,False,False,0,,,
data/artifacts/pypi/ascall/0.1.1/ascall-0.1.1.tar.gz,tar,6,1,0,0,0,False,False,0,,,
data/artifacts/pypi/article-to-md/0.5.0/article_to_md-0.5.0.tar.gz,tar,13,6,0,0,0,False,False,0,,,
data/artifacts/pypi/arborparser/0.1.6/arborparser-0.1.6.tar.gz,tar,33,12,0,0,0,False,False,0,,,
data/artifacts/pypi/asmine/0.0.1/asmine-0.0.1-py3-none-any.whl,wheel,4,0,0,0,0,False,False,0,,,
data/artifacts/pypi/ason-text/0.0.1/ason_text-0.0.1-py3-none-any.whl,wheel,6,2,0,0,0,False,False,0,,,
data/artifacts/pypi/ason-text/0.0.1/ason_text-0.0.1.tar.gz,tar,13,3,0,0,0,False,False,0,,,
data/artifacts/pypi/ascendfly/1.4/ascendfly-1.4-py3-none-any.whl,wheel,49,44,0,0,0,False,True,1,,,
data/artifacts/pypi/asphalt-mailer/4.0.0/asphalt_mailer-4.0.0-py3-none-any.whl,wheel,15,8,0,0,0,False,False,0,,,
data/artifacts/pypi/aspm/0.3/aspm-0.3-py3-none-any.whl,wheel,9,3,0,0,0,False,False,0,,,
data/artifacts/pypi/aspm/0.3/aspm-0.3.tar.gz,tar,17,4,0,0,0,False,False,0,,,
data/artifacts/pypi/assumption-sheriff/0.1.0/assumption_sheriff-0.1.0-py3-none-any.whl,wheel,7,2,0,0,0,False,False,0,,,
data/artifacts/pypi/asphalt-mailer/4.0.0/asphalt-mailer-4.0.0.tar.gz,tar,65,20,0,0,0,False,True,1,,,
data/artifacts/pypi/assumption-sheriff/0.1.0/assumption_sheriff-0.1.0.tar.gz,tar,16,3,0,0,0,False,False,0,,,
data/artifacts/pypi/asv-runner/0.2.1/asv_runner-0.2.1-py3-none-any.whl,wheel,25,21,0,0,0,False,True,3,,,
data/artifacts/pypi/ascendfly/1.4/ascendfly-1.4.tar.gz,tar,66,45,0,0,0,False,True,1,,,
data/artifacts/pypi/async-flow-control/0.1.1/async_flow_control-0.1.1-py3-none-any.whl,wheel,20,15,0,0,0,False,False,0,,,
data/artifacts/pypi/audio-tuner-gui/0.12.0/audio_tuner_gui-0.12.0-py3-none-any.whl,wheel,48,11,0,0,0,False,True,2,,,
data/artifacts/pypi/augmentts/0.1.0/AugmentTS-0.1.0-py3-none-any.whl,wheel,11,6,0,0,0,False,False,0,,,
data/artifacts/pypi/asv-runner/0.2.1/asv_runner-0.2.1.tar.gz,tar,25,21,0,0,0,False,True,3,,,
data/artifacts/pypi/augmentts/0.1.0/AugmentTS-0.1.0.tar.gz,tar,26,10,0,0,0,False,False,0,,,
data/artifacts/pypi/authcheck/0.0.27/authcheck-0.0.27-py3-none-any.whl,wheel,35,14,10,2,0,True,False,0,3531:10,cpython-312:10,
data/artifacts/pypi/auto-mind/0.3.2/auto_mind-0.3.2-py3-none-any.whl,wheel,16,12,0,0,0,False,True,2,,,
