bug_id,tool,python_tag,failure_type,specific_cause,stack_signature,tool_result_count,findings,statuses,representative_finding,representative_stdout,representative_stderr,example_findings
rq4-decompyle3-e35c258e69bb,decompyle3,cpython-38,IndexError,constant index out of range,site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest <- site-packages/decompyle3/scanner.py:build_instructions <- site-packages/xdis/bytecode.py:get_instructions_bytes <- site-packages/xdis/bytecode.py:get_logical_instruction_at_offset,2,2,exit_1,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-3cebf488677b.pyc,data/rq4/tool_traces/cpython-38/cpython-38-3cebf488677b/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-3cebf488677b/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-3cebf488677b.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-9a9fb65de558.pyc
rq4-decompyle3-5c1bac28ece4,decompyle3,cpython-38,TypeError,argument of type 'int' is not iterable,site-packages/decompyle3/semantics/n_actions.py:n_mkfunc <- site-packages/decompyle3/semantics/make_function36.py:make_function36 <- site-packages/decompyle3/scanner.py:__init__ <- site-packages/decompyle3/scanners/scanner38.py:ingest <- site-packages/decompyle3/scanners/scanner37.py:ingest <- site-packages/decompyle3/scanners/scanner37base.py:ingest,2,2,exit_1,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-5e5346c1cf8a.pyc,data/rq4/tool_traces/cpython-38/cpython-38-5e5346c1cf8a/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-5e5346c1cf8a/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-5e5346c1cf8a.pyc;data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-b0c2992e0f7d.pyc
rq4-pylingual-0d74aa1517e6,pylingual,cpython-39,SIGILL,process crashed with signal 4,,2,2,exit_-4,data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-ccda63e4c86c.pyc,data/rq4/tool_traces/cpython-39/cpython-39-ccda63e4c86c/pylingual.stdout.txt,data/rq4/tool_traces/cpython-39/cpython-39-ccda63e4c86c/pylingual.stderr.txt,data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-ccda63e4c86c.pyc;data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-d6e24fa7ea2c.pyc
rq4-pylingual-c69a3fae2ac0,pylingual,cpython-39,Timeout,did not terminate within 600s,,2,2,timeout,data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-02bda83cf25f.pyc,data/rq4/tool_traces/cpython-39/cpython-39-02bda83cf25f/pylingual.stdout.txt,data/rq4/tool_traces/cpython-39/cpython-39-02bda83cf25f/pylingual.stderr.txt,data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-02bda83cf25f.pyc;data/rq3/cpython-3.9/unique_bug_pyc/cpython-39-ccfa2db55ee1.pyc
rq4-decompyle3-0ed71adf3dff,decompyle3,cpython-312,SIGABRT,allocator/heap abort,,1,1,exit_-6,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-eb581a73e180.pyc,data/rq4/tool_traces/cpython-312/cpython-312-eb581a73e180/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-312/cpython-312-eb581a73e180/decompyle3.stderr.txt,data/rq3/cpython-3.12/unique_bug_pyc/cpython-312-eb581a73e180.pyc
rq4-decompyle3-8f2190c11f24,decompyle3,cpython-38,SIGABRT,fatal Python runtime error,,1,1,exit_-6,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-770a9e21632b.pyc,data/rq4/tool_traces/cpython-38/cpython-38-770a9e21632b/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-770a9e21632b/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-770a9e21632b.pyc
rq4-decompyle3-6009e4188f1c,decompyle3,cpython-38,Timeout,did not terminate within 600s,,1,1,timeout,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-74d96dc3cf62.pyc,data/rq4/tool_traces/cpython-38/cpython-38-74d96dc3cf62/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-74d96dc3cf62/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-74d96dc3cf62.pyc
rq4-decompyle3-f2c2accc5c76,decompyle3,cpython-38,TypeError,malformed marshal loader state,site-packages/xdis/load.py:load_module_from_file_object <- site-packages/xdis/unmarshal.py:load_code <- site-packages/xdis/unmarshal.py:load <- site-packages/xdis/unmarshal.py:r_object <- site-packages/xdis/unmarshal.py:t_code,1,1,exit_2,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-09cf932ac7c9.pyc,data/rq4/tool_traces/cpython-38/cpython-38-09cf932ac7c9/decompyle3.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-09cf932ac7c9/decompyle3.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-09cf932ac7c9.pyc
rq4-pylingual-ef6abb195900,pylingual,cpython-310,Timeout,did not terminate within 600s,,1,1,timeout,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-7c36e44e9194.pyc,data/rq4/tool_traces/cpython-310/cpython-310-7c36e44e9194/pylingual.stdout.txt,data/rq4/tool_traces/cpython-310/cpython-310-7c36e44e9194/pylingual.stderr.txt,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-7c36e44e9194.pyc
rq4-pylingual-08252ec6a983,pylingual,cpython-38,SIGILL,process crashed with signal 4,,1,1,exit_-4,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-ee3258669fff.pyc,data/rq4/tool_traces/cpython-38/cpython-38-ee3258669fff/pylingual.stdout.txt,data/rq4/tool_traces/cpython-38/cpython-38-ee3258669fff/pylingual.stderr.txt,data/rq3/cpython-3.8/unique_bug_pyc/cpython-38-ee3258669fff.pyc
