python_tag,finding,category,reason,bytecode_status,bytecode_reason,reproduced_by,decompiler_statuses,source_statuses
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a0eb21a4490f.pyc,no_source,Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a0eb21a4490f.pyc: Invalid bytes in ASCII string,crash,signal_11:,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a0eb21a4490f.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a157b6374421.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a157b6374421.pyc: std::bad_cast,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a26c375cfa0b.pyc,no_source,Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a26c375cfa0b.pyc: std::bad_cast,crash,signal_11:,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a26c375cfa0b.pyc: std::bad_cast,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a277dbe2949d.pyc,no_source,PycBuffer::getByte(): Unexpected end of stream,crash,signal_11:,,decompylepp:exit_1:PycBuffer::getByte(): Unexpected end of stream,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a369e696b533.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a369e696b533.pyc: vector::_M_range_check: __n (which is 119) >= this->size() (which is 11),decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a39747ed1941.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:data/rq4/source_candidates/cpython-311/cpython-311-a39747ed1941/decompylepp.py:18: SyntaxWarning: 'NoneType' object is not callable; perhaps you missed a comma? Base = None(Base, 'Base') data/rq4/source_candidates/cpython-311/cpython-311..."
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a519f5d2b8e8.pyc,no_source,Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a519f5d2b8e8.pyc: Invalid bytes in ASCII string,crash,"signal_11:AttributeError: 'function' object has no attribute '__pybcsec_seed__' During handling of the above exception, another exception occurred: Traceback (most recent call last): File ""/home/awen/git/PybcSEC/PycLens/data/rq4/harness.py"", line ...",,decompylepp:exit_1:Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a519f5d2b8e8.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a59d1cbdafa5.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-a59d1cbdafa5/decompylepp.py"", line 12 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a757bcc1c7ba.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-a757bcc1c7ba/decompylepp.py"", line 20 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a8f5bd82a6d2.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-a8f5bd82a6d2/decompylepp.py"", line 15 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a95758ba00a8.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-a95758ba00a8/decompylepp.py"", line 11 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-a9ae065d4b70.pyc,compile_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-a9ae065d4b70/decompylepp.py"", line 35 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",crash,signal_11:,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-a9ae065d4b70/decompylepp.py"", line 35 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-aa7f787ee8f1.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:data/rq4/source_candidates/cpython-311/cpython-311-aa7f787ee8f1/decompylepp.py:17: SyntaxWarning: 'NoneType' object is not callable; perhaps you missed a comma? None(None, None) data/rq4/source_candidates/cpython-311/cpython-311-aa7f787e..."
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-ad41a465db4a.pyc,unconfirmed,original bytecode status ok:,ok,,,"decompylepp:error:# Source Generated with Decompyle++ # File: cpython-311-ad41a465db4a.pyc (Python 3.11) def __pybcsec_seed__(): None = None self = None() __pybcsec_self__ = None() __pybcsec_self__ = self compile(b""# codi`2: cp932\\nprint '\\x94N'"", 'dummy'...",decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-ae7674847f4e.pyc,no_source,Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-ae7674847f4e.pyc: Invalid bytes in ASCII string,crash,signal_11:,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-ae7674847f4e.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-b2782d3da8b6.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Warning: Refusing to pop last block when there is more code to parse pos: 198 OP: f2 Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-b2782d3da8b6.pyc: vector::_M_range_check: __n (which is 160) >= this->size() (which i...,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-b2f80d08bf72.pyc,compile_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-b2f80d08bf72/decompylepp.py"", line 4 None[(lambda : self = object()__pybcsec_self__ = object()__pybcsec_sel...",crash,signal_11:,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-b2f80d08bf72/decompylepp.py"", line 4 None[(lambda : self = object()__pybcsec_self__ = object()__pybcsec_sel..."
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-b80c09455b38.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-b80c09455b38.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-b98162f742d9.pyc,compile_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-b98162f742d9/decompylepp.py"", line 15 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",crash,signal_11:,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-b98162f742d9/decompylepp.py"", line 15 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-bb3af8bee813.pyc,compile_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-bb3af8bee813/decompylepp.py"", line 15 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",crash,signal_11:,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-bb3af8bee813/decompylepp.py"", line 15 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-bb8ef554f4f2.pyc,compile_failure,"data/rq4/source_candidates/cpython-311/cpython-311-bb8ef554f4f2/decompylepp.py:24: SyntaxWarning: 'list' object is not callable; perhaps you missed a comma? [ Traceback (most recent call last): File ""<string>"", line 10, in <module> File ...",crash,signal_11:,,decompylepp:ok:,"decompylepp:exit_1:data/rq4/source_candidates/cpython-311/cpython-311-bb8ef554f4f2/decompylepp.py:24: SyntaxWarning: 'list' object is not callable; perhaps you missed a comma? [ Traceback (most recent call last): File ""<string>"", line 10, in <module> File ..."
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-bb92f63abfa4.pyc,compile_failure,"data/rq4/source_candidates/cpython-311/cpython-311-bb92f63abfa4/decompylepp.py:35: SyntaxWarning: 'NoneType' object is not callable; perhaps you missed a comma? None(None, None) Traceback (most recent call last): File ""<string>"", line 10...",crash,signal_6:free(): invalid pointer,,decompylepp:ok:,"decompylepp:exit_1:data/rq4/source_candidates/cpython-311/cpython-311-bb92f63abfa4/decompylepp.py:35: SyntaxWarning: 'NoneType' object is not callable; perhaps you missed a comma? None(None, None) Traceback (most recent call last): File ""<string>"", line 10..."
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-bea3b9eb1d87.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Warning: Refusing to pop last block when there is more code to parse pos: 198 OP: f2 Unsupported opcode: <INVALID> (-1) Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-bea3b9eb1d87.pyc: vector::_M_range_check: __n (whi...,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c06968e4288c.pyc,compile_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-c06968e4288c/decompylepp.py"", line 14 continue ^^^^^^^^ SyntaxError: 'continue' not properly in loop",crash,signal_11:,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-c06968e4288c/decompylepp.py"", line 14 continue ^^^^^^^^ SyntaxError: 'continue' not properly in loop"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c0890f534ec4.pyc,compile_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-c0890f534ec4/decompylepp.py"", line 25 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",crash,signal_11:,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-c0890f534ec4/decompylepp.py"", line 25 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c1c88e3dce7f.pyc,no_source,Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c1c88e3dce7f.pyc: std::bad_cast,crash,signal_11:,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c1c88e3dce7f.pyc: std::bad_cast,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c35c19a1424f.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Unsupported opcode: <INVALID> (-1) Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c35c19a1424f.pyc: vector::_M_range_check: __n (which is 14) >= this->size() (which is 13),decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c7e46bf7dec9.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c7e46bf7dec9.pyc: vector::_M_range_check: __n (which is 3) >= this->size() (which is 3),decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c8f0225022e8.pyc,no_source,Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c8f0225022e8.pyc: Invalid bytes in ASCII string,crash,signal_11:,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-c8f0225022e8.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-cb5782851995.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-cb5782851995.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d3e8f4abd503.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error decompyling data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d3e8f4abd503.pyc: vector::_M_range_check: __n (which is 9) >= this->size() (which is 4),decompylepp:not_run:
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d60fc3bba62b.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:ok:,"decompylepp:exit_1:Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-311/cpython-311-d60fc3bba62b/decompylepp.py"", line 11 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function"
cpython-311,data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d7ef0f86f491.pyc,unconfirmed,original bytecode status ok:,ok,,,decompylepp:exit_1:Error loading file data/rq3/cpython-3.11/unique_bug_pyc/cpython-311-d7ef0f86f491.pyc: Invalid bytes in ASCII string,decompylepp:not_run:
