python_tag,finding,interpreter,bytecode_status,bytecode_reason,decompiler,decompile_status,decompile_reason,decompile_stdout,decompile_stderr,source_path,compiled_pyc,source_status,source_reason,reproduced
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-232dbdb7643c.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-232dbdb7643c.pyc: vector::_M_range_check: __n (which is 115) >= this->size() (which is 1),,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-1933bbc9617a.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-1933bbc9617a/decompylepp.py"", line 38 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2640fce96d36.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2640fce96d36.pyc: std::bad_cast,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc,data/rq2/envs/cpython-310/bin/python,crash,signal_11:,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2aae60cef2a2.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2aae60cef2a2.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2c604c45d5bb.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2c604c45d5bb.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2cada3d4af6f.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2cada3d4af6f.pyc: vector::_M_range_check: __n (which is 254) >= this->size() (which is 4),,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3081b5214931.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3081b5214931.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-31357a7e2c23.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-31357a7e2c23.pyc: vector::_M_range_check: __n (which is 101) >= this->size() (which is 2),,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-14fe555e26f3.pyc,data/rq2/envs/cpython-310/bin/python,crash,signal_11:,decompylepp,exit_1,Warning: block stack is not empty! Warning: Refusing to pop last block when there is more code to parse pos: 94 OP: 31 Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-14fe555e26f3.pyc: vector::_M_range_check: __n (whic...,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3213c9117688.pyc,data/rq2/envs/cpython-310/bin/python,exit_1,"Traceback (most recent call last): File ""/home/awen/git/PybcSEC/PycLens/data/rq4/harness.py"", line 26, in <module> exec(code, namespace, namespace) File ""data/rq3/cpython-3.10/unittest_seeds/raw/cpython_case_test_dict_DictTest_test_rever...",decompylepp,exit_1,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3213c9117688.pyc: Invalid bytes in ASCII string,,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2d949721c6f1.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-2d949721c6f1/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-2d949721c6f1/decompylepp.py"", line 14 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-38b702da3d0c.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,exit_1,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-38b702da3d0c.pyc: vector::_M_range_check: __n (which is 97) >= this->size() (which is 6),,,,,not_run,,False
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2ef12fc317db.pyc,data/rq2/envs/cpython-310/bin/python,ok,,decompylepp,ok,,,,data/rq4/source_candidates/cpython-310/cpython-310-2ef12fc317db/decompylepp.py,,exit_1,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-2ef12fc317db/decompylepp.py"", line 6 __pybcsec_self__ = None ^ None ^ (None **= object) ^^^ SyntaxError: in...",False
