python_tag,finding,decompiler,stage,status,failure_class,reason,bytecode_status,decompile_stdout,decompile_stderr,source_path,compiled_pyc
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-051c62d941fa.pyc: Invalid bytes in ASCII string,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2aae60cef2a2.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2aae60cef2a2.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2c604c45d5bb.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2c604c45d5bb.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2cada3d4af6f.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2cada3d4af6f.pyc: vector::_M_range_check: __n (which is 254) >= this->size() (which is 4),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3081b5214931.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3081b5214931.pyc: Invalid bytes in ASCII string,ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-31357a7e2c23.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-31357a7e2c23.pyc: vector::_M_range_check: __n (which is 101) >= this->size() (which is 2),ok,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-14fe555e26f3.pyc,decompylepp,decompile,exit_1,expected_rejection,Warning: block stack is not empty! Warning: Refusing to pop last block when there is more code to parse pos: 94 OP: 31 Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-14fe555e26f3.pyc: vector::_M_range_check: __n (whic...,crash,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3213c9117688.pyc,decompylepp,decompile,exit_1,expected_rejection,Error loading file data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-3213c9117688.pyc: Invalid bytes in ASCII string,exit_1,,,,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-2d949721c6f1.pyc,decompylepp,rerun,exit_1,translation_failure,"Traceback (most recent call last): File ""<string>"", line 10, in <module> File ""data/rq4/source_candidates/cpython-310/cpython-310-2d949721c6f1/decompylepp.py"", line 14 return None ^^^^^^^^^^^ SyntaxError: 'return' outside function",ok,,,data/rq4/source_candidates/cpython-310/cpython-310-2d949721c6f1/decompylepp.py,
cpython-310,data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-38b702da3d0c.pyc,decompylepp,decompile,exit_1,expected_rejection,Error decompyling data/rq3/cpython-3.10/unique_bug_pyc/cpython-310-38b702da3d0c.pyc: vector::_M_range_check: __n (which is 97) >= this->size() (which is 6),ok,,,,
