metric,value
artifacts,1034843
artifacts_with_bytecode,7388
artifacts_with_dynamic_loading,242586
artifacts_with_pyc,7330
artifacts_with_pycache,7087
artifacts_with_source_less_pyc,1558
dynamic_load_hits,933162
py_files,28139279
pyc_files,228578
pycache_dirs,35933
source_less_pyc,28193
bytecode_artifact_rate,0.00713925
source_less_pyc_rate_per_pyc,0.12334083
